主字段,章节,等级,知识解析,拓展解析
<div style='text-align: center; font-size: 24px;'><b>艾叶</b></div>,中药学::常见药 大纲第1部分:: 止血药::温经止血药,2,性味归经::性[[温]]；味[[辛、苦；有小<span style='color: red;'>毒</span>]]；归[[肝、脾、肾]]经<br>###功效::① [[温经止血]]；<br>② [[散寒止痛]]；<br>③ [[调经安胎]]；<br>④ [[外用：祛湿止痒]]<br>###主治::① [[虚寒出血：崩漏【*···::“尤宜”*】，月经过多，吐血，衄血]]；<br>② [[少腹冷痛，经寒不调，宫冷不孕，脘腹冷痛【*···::“尤善调经”*】]]；<br>③ [[胎动不安，胎漏下血，带下]]；<br>④ [[湿疹、阴痒、疥癣等皮肤瘙痒【*···::煎汤外洗*】]]；<br>⑤ [[温灸材料【*···::温煦气血透达经络，“妇科下焦虚寒要药，安胎要药”*】]],性味归经::性[[温]]；味[[辛、苦；有小<span style='color: red;'>毒</span>]]；归[[肝、脾、肾]]经<br>###功效::① [[温经止血]]；<br>② [[散寒止痛]]；<br>③ [[调经安胎]]；<br>④ [[外用：祛湿止痒]]<br>###主治::① [[虚寒出血：崩漏【*···::“尤宜”*】，月经过多，吐血，衄血]]；<br>② [[少腹冷痛，经寒不调，宫冷不孕，脘腹冷痛【*···::“尤善调经”*】]]；<br>③ [[胎动不安，胎漏下血，带下]]；<br>④ [[湿疹、阴痒、疥癣等皮肤瘙痒【*···::煎汤外洗*】]]；<br>⑤ [[温灸材料【*···::温煦气血透达经络，“妇科下焦虚寒要药，安胎要药”*】]]
<div style='text-align: center; font-size: 24px;'><b>川芎</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[温]]；味[[辛]]；归[[肝、胆、心包]]经<br>###功效::① [[活血行气]]；<br>② [[祛风止痛]]<br>###主治::① [[血瘀气滞诸证：胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，癥瘕腹痛，肢体麻木]]；<br>② [[头痛，风湿痹痛]]；<br>③ [[本品为血中气药，是治头痛、妇科活血调经的要药，能上行头目、中开郁结、下调经水、旁通络脉]],性味归经::性[[温]]；味[[辛]]；归[[肝、胆、心包]]经<br>###功效::① [[活血行气]]；<br>② [[祛风止痛]]<br>###主治::① [[血瘀气滞诸证：胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，癥瘕腹痛，肢体麻木]]；<br>② [[头痛，风湿痹痛]]；<br>③ [[本品为血中气药，是治头痛、妇科活血调经的要药，能上行头目、中开郁结、下调经水、旁通络脉]]
<div style='text-align: center; font-size: 24px;'><b>延胡索</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾、心]]经<br>###功效::① [[活血]]；<br>② [[行气]]；<br>③ [[止痛]]<br>###主治::① [[血瘀气滞诸痛]]；<br>② [[胸胁、脘腹疼痛，胸痹心痛，经闭痛经，产后瘀阻，跌扑肿痛]]；<br>③ [[寒疝腹痛，睾丸肿胀]]；<br>④ [[风湿痹痛【*···::能行血中气滞，气中血滞，故专治一身上下诸痛]]；<br>⑤ [[止痛良好，尤宜血瘀气滞证*】]],性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾、心]]经<br>###功效::① [[活血]]；<br>② [[行气]]；<br>③ [[止痛]]<br>###主治::① [[血瘀气滞诸痛]]；<br>② [[胸胁、脘腹疼痛，胸痹心痛，经闭痛经，产后瘀阻，跌扑肿痛]]；<br>③ [[寒疝腹痛，睾丸肿胀]]；<br>④ [[风湿痹痛【*···::能行血中气滞，气中血滞，故专治一身上下诸痛]]；<br>⑤ [[止痛良好，尤宜血瘀气滞证*】]]
<div style='text-align: center; font-size: 24px;'><b>郁金</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[寒]]；味[[辛、苦]]；归[[肝、心、胆、肺]]经<br>###功效::① [[活血止痛]]；<br>② [[行气解郁]]；<br>③ [[清心凉血]]；<br>④ [[利胆退黄]]<br>###主治::① [[气滞血瘀，胸胁刺痛，胸痹心痛，月经不调，经闭痛经，乳房胀痛，癥瘕痞块【*···::善治气滞血瘀*】]]；<br>② [[热病神昏【*···::湿温病浊邪蒙蔽清窍，胸脘痞闷，神志不清*】，癫痫发狂【*···::清心解郁开窍*】]]；<br>③ [[血热出血，气火上逆之吐血、衄血，妇女倒经，亦治热结下焦，伤及血络之尿血、血淋]]；<br>④ [[肝胆湿热，黄疸尿赤，胆胀胁痛【*···::疏肝利胆，清利湿热*】]],性味归经::性[[寒]]；味[[辛、苦]]；归[[肝、心、胆、肺]]经<br>###功效::① [[活血止痛]]；<br>② [[行气解郁]]；<br>③ [[清心凉血]]；<br>④ [[利胆退黄]]<br>###主治::① [[气滞血瘀，胸胁刺痛，胸痹心痛，月经不调，经闭痛经，乳房胀痛，癥瘕痞块【*···::善治气滞血瘀*】]]；<br>② [[热病神昏【*···::湿温病浊邪蒙蔽清窍，胸脘痞闷，神志不清*】，癫痫发狂【*···::清心解郁开窍*】]]；<br>③ [[血热出血，气火上逆之吐血、衄血，妇女倒经，亦治热结下焦，伤及血络之尿血、血淋]]；<br>④ [[肝胆湿热，黄疸尿赤，胆胀胁痛【*···::疏肝利胆，清利湿热*】]]
<div style='text-align: center; font-size: 24px;'><b>姜黄</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[活血行气]]；<br>② [[通经止痛]]<br>###主治::① [[血瘀气滞诸痛：胸胁刺痛、胸痹心痛、痛经经闭、癥瘕、跌扑肿痛]]；<br>② [[风湿痹痛【*···::通络止痛，善治肩臂疼痛*】]]；<br>③ [[善治血瘀气滞证]],性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[活血行气]]；<br>② [[通经止痛]]<br>###主治::① [[血瘀气滞诸痛：胸胁刺痛、胸痹心痛、痛经经闭、癥瘕、跌扑肿痛]]；<br>② [[风湿痹痛【*···::通络止痛，善治肩臂疼痛*】]]；<br>③ [[善治血瘀气滞证]]
<div style='text-align: center; font-size: 24px;'><b>乳香</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[温]]；味[[辛、苦]]；归[[心、肝、脾]]经<br>###功效::① [[活血行气止痛]]；<br>② [[消肿生肌]]<br>###主治::① [[血瘀气滞诸痛：跌打损伤，胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，筋脉拘挛【*···::活血行气止痛*】]]；<br>② [[疮疡痈肿，瘰疬痰核【*···::外伤科要药，定诸经之痛*】]],性味归经::性[[温]]；味[[辛、苦]]；归[[心、肝、脾]]经<br>###功效::① [[活血行气止痛]]；<br>② [[消肿生肌]]<br>###主治::① [[血瘀气滞诸痛：跌打损伤，胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，筋脉拘挛【*···::活血行气止痛*】]]；<br>② [[疮疡痈肿，瘰疬痰核【*···::外伤科要药，定诸经之痛*】]]
<div style='text-align: center; font-size: 24px;'><b>没药</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[平]]；味[[苦辛]]；归[[心、肝、脾]]经<br>###功效::① [[散瘀定痛]]；<br>② [[消肿生肌]]<br>###主治::① [[血瘀气滞诸痛证，常与乳香同用]]；<br>② [[疮疡痈肿，瘰疬痰核]]；<br>③ [[乳香偏行气，没药偏活血散瘀，可活血止痛]],性味归经::性[[平]]；味[[苦辛]]；归[[心、肝、脾]]经<br>###功效::① [[散瘀定痛]]；<br>② [[消肿生肌]]<br>###主治::① [[血瘀气滞诸痛证，常与乳香同用]]；<br>② [[疮疡痈肿，瘰疬痰核]]；<br>③ [[乳香偏行气，没药偏活血散瘀，可活血止痛]]
<div style='text-align: center; font-size: 24px;'><b>五灵脂</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血止痛药,2,性味归经::性[[温]]；味[[苦咸甘]]；归[[肝、脾]]经<br>###功效::① [[活血止痛]]；<br>② [[化瘀止血]]<br>###主治::① [[瘀阻诸痛证：胸痹心痛，脘腹胁痛，痛经经闭及产后瘀滞腹痛，骨折肿痛等]]；<br>② [[瘀滞出血证，如崩漏经多，色紫有块，少腹刺痛]]；<br>③ [[解毒消肿，治蛇虫、蝎、蜈蚣咬伤]]；<br>④ [[消积，治小儿疳积]],性味归经::性[[温]]；味[[苦咸甘]]；归[[肝、脾]]经<br>###功效::① [[活血止痛]]；<br>② [[化瘀止血]]<br>###主治::① [[瘀阻诸痛证：胸痹心痛，脘腹胁痛，痛经经闭及产后瘀滞腹痛，骨折肿痛等]]；<br>② [[瘀滞出血证，如崩漏经多，色紫有块，少腹刺痛]]；<br>③ [[解毒消肿，治蛇虫、蝎、蜈蚣咬伤]]；<br>④ [[消积，治小儿疳积]]
<div style='text-align: center; font-size: 24px;'><b>丹参</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[微寒]]；味[[苦]]；归[[心、肝]]经<br>###功效::① [[活血祛瘀]]；<br>② [[通经止痛]]；<br>③ [[清心除烦]]；<br>④ [[凉血消痈]]<br>###主治::① [[瘀血阻滞所致月经不调、痛经经闭、产后腹痛【*···::活血调经，祛瘀止痛*】]]；<br>② [[血瘀胸痹心痛、脘腹胁痛、癥瘕积聚、跌打损伤、热痹疼痛]]；<br>③ [[心烦心悸失眠【*···::除烦安神*】]]；<br>④ [[疮疡痈肿疼痛]]；<br>⑤ [[破宿血，补新血]]；<br>⑥ [[为活血化瘀要药，血热瘀滞尤宜，活血调经常用药]],性味归经::性[[微寒]]；味[[苦]]；归[[心、肝]]经<br>###功效::① [[活血祛瘀]]；<br>② [[通经止痛]]；<br>③ [[清心除烦]]；<br>④ [[凉血消痈]]<br>###主治::① [[瘀血阻滞所致月经不调、痛经经闭、产后腹痛【*···::活血调经，祛瘀止痛*】]]；<br>② [[血瘀胸痹心痛、脘腹胁痛、癥瘕积聚、跌打损伤、热痹疼痛]]；<br>③ [[心烦心悸失眠【*···::除烦安神*】]]；<br>④ [[疮疡痈肿疼痛]]；<br>⑤ [[破宿血，补新血]]；<br>⑥ [[为活血化瘀要药，血热瘀滞尤宜，活血调经常用药]]
<div style='text-align: center; font-size: 24px;'><b>红花</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[温]]；味[[辛]]；归[[心、肝]]经<br>###功效::① [[活血通经]]；<br>② [[散瘀止痛]]<br>###主治::① [[血瘀痛经，经闭，产后瘀滞腹痛，恶露不行]]；<br>② [[心腹瘀阻疼痛，癥瘕痞块积聚，胸胁刺痛，胸痹心痛]]；<br>③ [[跌扑损伤，疮疡肿痛【*···::消肿*】]]；<br>④ [[热郁血瘀，斑疹紫暗【*···::消斑*】]]；<br>⑤ [[妇科伤科血瘀常用，善治瘀阻心腹诸痛]],性味归经::性[[温]]；味[[辛]]；归[[心、肝]]经<br>###功效::① [[活血通经]]；<br>② [[散瘀止痛]]<br>###主治::① [[血瘀痛经，经闭，产后瘀滞腹痛，恶露不行]]；<br>② [[心腹瘀阻疼痛，癥瘕痞块积聚，胸胁刺痛，胸痹心痛]]；<br>③ [[跌扑损伤，疮疡肿痛【*···::消肿*】]]；<br>④ [[热郁血瘀，斑疹紫暗【*···::消斑*】]]；<br>⑤ [[妇科伤科血瘀常用，善治瘀阻心腹诸痛]]
<div style='text-align: center; font-size: 24px;'><b>桃仁</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[平]]；味[[苦甘]]；归[[心、肝、大肠]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[活血祛瘀]]；<br>② [[润肠通便]]；<br>③ [[止咳平喘]]；<br>④ [[祛瘀消痈]]<br>###主治::① [[血瘀证：经闭痛经，产后腹痛，癥瘕痞块，跌扑损伤【*···::多种血瘀证要药*】]]；<br>② [[肠燥便秘]]；<br>③ [[咳嗽气喘]]；<br>④ [[肺痈，肠痈【*···::常用药*】]],性味归经::性[[平]]；味[[苦甘]]；归[[心、肝、大肠]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[活血祛瘀]]；<br>② [[润肠通便]]；<br>③ [[止咳平喘]]；<br>④ [[祛瘀消痈]]<br>###主治::① [[血瘀证：经闭痛经，产后腹痛，癥瘕痞块，跌扑损伤【*···::多种血瘀证要药*】]]；<br>② [[肠燥便秘]]；<br>③ [[咳嗽气喘]]；<br>④ [[肺痈，肠痈【*···::常用药*】]]
<div style='text-align: center; font-size: 24px;'><b>益母草</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,"性味归经::性[[微寒]]；味[[苦辛]]；归[[肝、心包、膀胱]]经<br>###功效::① [[活血调经]]；<br>② [[利水消肿]]；<br>③ [[清热解毒]]<br>###主治::① [[血瘀证：月经不调，痛经经闭，恶露不尽]]；<br>② [[水肿尿少，小便不利【*···::利尿消肿*】]]；<br>③ [[疮痈肿毒，跌打损伤，皮肤瘙痒【*···::""妇科经产瘀血病常用药""""善治水瘀互结水肿""*】]]","性味归经::性[[微寒]]；味[[苦辛]]；归[[肝、心包、膀胱]]经<br>###功效::① [[活血调经]]；<br>② [[利水消肿]]；<br>③ [[清热解毒]]<br>###主治::① [[血瘀证：月经不调，痛经经闭，恶露不尽]]；<br>② [[水肿尿少，小便不利【*···::利尿消肿*】]]；<br>③ [[疮痈肿毒，跌打损伤，皮肤瘙痒【*···::""妇科经产瘀血病常用药""""善治水瘀互结水肿""*】]]"
<div style='text-align: center; font-size: 24px;'><b>泽兰</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[微温]]；味[[苦辛]]；归[[肝脾]]经<br>###功效::① [[活血调经]]；<br>② [[祛瘀消痈]]；<br>③ [[利水消肿]]<br>###主治::① [[血瘀证：月经不调，经闭痛经，产后瘀阻腹痛]]；<br>② [[疮痈肿毒，跌打伤痛]]；<br>③ [[水肿，腹水，小便不利]],性味归经::性[[微温]]；味[[苦辛]]；归[[肝脾]]经<br>###功效::① [[活血调经]]；<br>② [[祛瘀消痈]]；<br>③ [[利水消肿]]<br>###主治::① [[血瘀证：月经不调，经闭痛经，产后瘀阻腹痛]]；<br>② [[疮痈肿毒，跌打伤痛]]；<br>③ [[水肿，腹水，小便不利]]
<div style='text-align: center; font-size: 24px;'><b>牛膝</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[平]]；味[[苦酸甘]]；归[[肝肾]]经<br>###功效::① [[逐瘀通经]]；<br>② [[补肝肾]]；<br>③ [[强筋骨]]；<br>④ [[利尿通淋]]；<br>⑤ [[引血下行]]<br>###主治::① [[瘀滞经产诸疾：经闭，痛经，产后腹痛，胞衣不下，跌扑伤痛【*···::活血祛瘀，通经止痛*】]]；<br>② [[腰膝酸痛，筋骨无力，下肢痿软]]；<br>③ [[淋证，水肿，小便不利]]；<br>④ [[气火上逆之吐血衄血、牙痛口疮，阴虚阳亢之头痛眩晕【*···::引火下行*】]]；<br>⑤ [[下行引经药【*···::引诸药下行*】]],性味归经::性[[平]]；味[[苦酸甘]]；归[[肝肾]]经<br>###功效::① [[逐瘀通经]]；<br>② [[补肝肾]]；<br>③ [[强筋骨]]；<br>④ [[利尿通淋]]；<br>⑤ [[引血下行]]<br>###主治::① [[瘀滞经产诸疾：经闭，痛经，产后腹痛，胞衣不下，跌扑伤痛【*···::活血祛瘀，通经止痛*】]]；<br>② [[腰膝酸痛，筋骨无力，下肢痿软]]；<br>③ [[淋证，水肿，小便不利]]；<br>④ [[气火上逆之吐血衄血、牙痛口疮，阴虚阳亢之头痛眩晕【*···::引火下行*】]]；<br>⑤ [[下行引经药【*···::引诸药下行*】]]
<div style='text-align: center; font-size: 24px;'><b>鸡血藤</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[温]]；味[[甘苦]]；归[[肝肾]]经<br>###功效::① [[活血补血]]；<br>② [[调经止痛]]；<br>③ [[舒筋活络]]<br>###主治::① [[月经不调，痛经，经闭]]；<br>② [[风湿痹痛，肢体麻木，半身不遂，血虚萎黄【*···::养血荣筋*】]]；<br>③ [[为妇科调经要药，主治血瘀或兼血虚之证]],性味归经::性[[温]]；味[[甘苦]]；归[[肝肾]]经<br>###功效::① [[活血补血]]；<br>② [[调经止痛]]；<br>③ [[舒筋活络]]<br>###主治::① [[月经不调，痛经，经闭]]；<br>② [[风湿痹痛，肢体麻木，半身不遂，血虚萎黄【*···::养血荣筋*】]]；<br>③ [[为妇科调经要药，主治血瘀或兼血虚之证]]
<div style='text-align: center; font-size: 24px;'><b>王不留行</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血调经药,2,性味归经::性[[平]]；味[[苦]]；归[[肝、胃]]经<br>###功效::① [[活血通经]]；<br>② [[下乳]]；<br>③ [[消痈]]；<br>④ [[利尿通淋]]<br>###主治::① [[血瘀痛经，经闭，难产]]；<br>② [[产后乳汁不下【*···::通乳汁*】，乳痈肿痛【*···::活血消痈、消肿止痛*】]]；<br>③ [[淋证涩痛：热淋，血淋，石淋]],性味归经::性[[平]]；味[[苦]]；归[[肝、胃]]经<br>###功效::① [[活血通经]]；<br>② [[下乳]]；<br>③ [[消痈]]；<br>④ [[利尿通淋]]<br>###主治::① [[血瘀痛经，经闭，难产]]；<br>② [[产后乳汁不下【*···::通乳汁*】，乳痈肿痛【*···::活血消痈、消肿止痛*】]]；<br>③ [[淋证涩痛：热淋，血淋，石淋]]
<div style='text-align: center; font-size: 24px;'><b>土鳖虫</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血疗伤药,2,性味归经::性[[寒]]；味[[咸]]；归[[肝]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[破血逐瘀]]；<br>② [[续筋接骨]]<br>###主治::① [[跌打损伤，筋伤骨折【*···::消肿止痛*】]]；<br>② [[血瘀经闭，产后瘀滞腹痛，癥瘕痞块【*···::性善走窜*】]],性味归经::性[[寒]]；味[[咸]]；归[[肝]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[破血逐瘀]]；<br>② [[续筋接骨]]<br>###主治::① [[跌打损伤，筋伤骨折【*···::消肿止痛*】]]；<br>② [[血瘀经闭，产后瘀滞腹痛，癥瘕痞块【*···::性善走窜*】]]
<div style='text-align: center; font-size: 24px;'><b>马钱子</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血疗伤药,2,性味归经::性[[温]]；味[[苦]]；归[[肝脾]]经；有大<span style='color: red;'>毒</span><br>###功效::① [[通络止痛]]；<br>② [[散结消肿]]<br>###主治::① [[跌打损伤，骨折肿痛【*···::伤科疗伤止痛要药*】]]；<br>② [[风湿顽痹，麻木瘫痪【*···::开通经络，透达关节，远胜他药*】]]；<br>③ [[痈疽疮毒，咽喉肿痛【*···::散结消肿，攻毒止痛*】]]；<br>④ [[八版记载性寒，十版记载性温]],性味归经::性[[温]]；味[[苦]]；归[[肝脾]]经；有大<span style='color: red;'>毒</span><br>###功效::① [[通络止痛]]；<br>② [[散结消肿]]<br>###主治::① [[跌打损伤，骨折肿痛【*···::伤科疗伤止痛要药*】]]；<br>② [[风湿顽痹，麻木瘫痪【*···::开通经络，透达关节，远胜他药*】]]；<br>③ [[痈疽疮毒，咽喉肿痛【*···::散结消肿，攻毒止痛*】]]；<br>④ [[八版记载性寒，十版记载性温]]
<div style='text-align: center; font-size: 24px;'><b>血竭</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::活血疗伤药,2,性味归经::性[[平]]；味[[甘咸]]；归[[心肝]]经<br>###功效::① [[活血定痛]]；<br>② [[化瘀止血]]；<br>③ [[生肌敛疮]]<br>###主治::① [[跌打损伤，瘀滞心腹刺痛【*···::活血散瘀，消肿止痛，伤科及其他瘀滞痛证要药*】]]；<br>② [[外伤出血【*···::止血不留瘀*】]]；<br>③ [[疮疡不敛【*···::活血消肿，祛瘀化腐*】]],性味归经::性[[平]]；味[[甘咸]]；归[[心肝]]经<br>###功效::① [[活血定痛]]；<br>② [[化瘀止血]]；<br>③ [[生肌敛疮]]<br>###主治::① [[跌打损伤，瘀滞心腹刺痛【*···::活血散瘀，消肿止痛，伤科及其他瘀滞痛证要药*】]]；<br>② [[外伤出血【*···::止血不留瘀*】]]；<br>③ [[疮疡不敛【*···::活血消肿，祛瘀化腐*】]]
<div style='text-align: center; font-size: 24px;'><b>莪术</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::破血消癥药,2,性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[破血行气]]；<br>② [[消积止痛]]<br>###主治::① [[血瘀气滞所致癥瘕痞块、瘀血经闭、胸痹心痛【*···::散瘀消癥*】]]；<br>② [[食积气滞所致脘腹胀痛]]；<br>③ [[跌打损伤所致瘀肿疼痛【*···::消肿止痛*】，为破血消癥要药]],性味归经::性[[温]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[破血行气]]；<br>② [[消积止痛]]<br>###主治::① [[血瘀气滞所致癥瘕痞块、瘀血经闭、胸痹心痛【*···::散瘀消癥*】]]；<br>② [[食积气滞所致脘腹胀痛]]；<br>③ [[跌打损伤所致瘀肿疼痛【*···::消肿止痛*】，为破血消癥要药]]
<div style='text-align: center; font-size: 24px;'><b>三棱</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::破血消癥药,2,性味归经::性[[平]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[破血行气]]；<br>② [[消积止痛]]<br>###主治::① [[主治病证与莪术相同]]；<br>② [[三棱偏于破血，莪术偏于破气]],性味归经::性[[平]]；味[[辛、苦]]；归[[肝、脾]]经<br>###功效::① [[破血行气]]；<br>② [[消积止痛]]<br>###主治::① [[主治病证与莪术相同]]；<br>② [[三棱偏于破血，莪术偏于破气]]
<div style='text-align: center; font-size: 24px;'><b>水蛭</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::破血消癥药,2,性味归经::性[[平]]；味[[咸苦]]；归[[肝]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[破血通经]]；<br>② [[逐瘀消癥]]<br>###主治::① [[血瘀经闭，癥瘕积聚【*···::常用于瘀滞重症*】]]；<br>② [[中风偏瘫，跌打损伤，瘀滞心腹疼痛]],性味归经::性[[平]]；味[[咸苦]]；归[[肝]]经；有小<span style='color: red;'>毒</span><br>###功效::① [[破血通经]]；<br>② [[逐瘀消癥]]<br>###主治::① [[血瘀经闭，癥瘕积聚【*···::常用于瘀滞重症*】]]；<br>② [[中风偏瘫，跌打损伤，瘀滞心腹疼痛]]
<div style='text-align: center; font-size: 24px;'><b>斑蝥</b></div>,中药学::常见药 大纲第1部分:: 活血化瘀药::破血消癥药,2,性味归经::性[[热]]；味[[辛]]；归[[肝、肾、胃]]经<br>###功效::① [[破血逐瘀]]；<br>② [[散结消癥]]；<br>③ [[攻毒蚀疮]]；<br>④ [[助生毛发]]<br>###主治::① [[血瘀经闭，癥瘕积聚【*···::破血通经*】]]；<br>② [[顽癣，瘰疬，赘疣，痈疽不溃，恶疮死肌]]；<br>③ [[面瘫，风湿痹痛【*···::外敷发泡*】]]；<br>④ [[斑秃【*···::酒浸外涂*】]],性味归经::性[[热]]；味[[辛]]；归[[肝、肾、胃]]经<br>###功效::① [[破血逐瘀]]；<br>② [[散结消癥]]；<br>③ [[攻毒蚀疮]]；<br>④ [[助生毛发]]<br>###主治::① [[血瘀经闭，癥瘕积聚【*···::破血通经*】]]；<br>② [[顽癣，瘰疬，赘疣，痈疽不溃，恶疮死肌]]；<br>③ [[面瘫，风湿痹痛【*···::外敷发泡*】]]；<br>④ [[斑秃【*···::酒浸外涂*】]]
<div style='text-align: center; font-size: 24px;'><b>半夏</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,性味归经::性[[辛温]]；味[[辛]]；归[[脾、胃、肺]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[降逆止呕]]；<br>③ [[消痞散结]]；<br>④ [[外用消肿止痛]]<br>###主治::① [[湿痰寒痰，咳喘痰多，痰饮眩悸，风痰眩晕，痰厥头痛]]；<br>② [[胃气上逆，呕吐反胃【*···::各种呕吐均可，痰饮或胃寒尤宜*】]]；<br>③ [[胸闷痞满，胸痹结胸，梅核气]]；<br>④ [[瘰疬瘿瘤，痈疽肿毒，毒蛇咬伤]]；<br>⑤ [[痰盛胃气不和之夜寐不安【*···::温化寒痰、止呕要药。善治湿痰。法半夏主治痰多咳喘，痰饮眩悸，风痰眩晕，痰厥头痛]]；<br>⑥ [[姜半夏主治痰饮呕吐，胃脘痞满]]；<br>⑦ [[清半夏主治湿痰咳嗽，胃脘痞满，痰涎凝聚，咯吐不出*】]],性味归经::性[[辛温]]；味[[辛]]；归[[脾、胃、肺]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[降逆止呕]]；<br>③ [[消痞散结]]；<br>④ [[外用消肿止痛]]<br>###主治::① [[湿痰寒痰，咳喘痰多，痰饮眩悸，风痰眩晕，痰厥头痛]]；<br>② [[胃气上逆，呕吐反胃【*···::各种呕吐均可，痰饮或胃寒尤宜*】]]；<br>③ [[胸闷痞满，胸痹结胸，梅核气]]；<br>④ [[瘰疬瘿瘤，痈疽肿毒，毒蛇咬伤]]；<br>⑤ [[痰盛胃气不和之夜寐不安【*···::温化寒痰、止呕要药。善治湿痰。法半夏主治痰多咳喘，痰饮眩悸，风痰眩晕，痰厥头痛]]；<br>⑥ [[姜半夏主治痰饮呕吐，胃脘痞满]]；<br>⑦ [[清半夏主治湿痰咳嗽，胃脘痞满，痰涎凝聚，咯吐不出*】]]
<div style='text-align: center; font-size: 24px;'><b>天南星</b></div>,中药学::常见药 大纲第1部分:: 化痰止咳平喘药::温化寒痰药,2,性味归经::性[[温]]；味[[苦辛]]；归[[肺肝脾]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[祛风止痉]]；<br>③ [[散结消肿]]；<br>④ [[止痛]]<br>###主治::① [[顽痰咳喘，胸膈胀闷]]；<br>② [[风痰眩晕，中风痰壅，口眼歪斜，半身不遂，癫痫，惊风，破伤风]]；<br>③ [[痈疽肿痛，瘰疬痰核，蛇虫咬伤]]；<br>④ [[风湿痹证，跌打损伤疼痛【*···::祛风痰要药*】]],性味归经::性[[温]]；味[[苦辛]]；归[[肺肝脾]]经；有<span style='color: red;'>毒</span><br>###功效::① [[燥湿化痰]]；<br>② [[祛风止痉]]；<br>③ [[散结消肿]]；<br>④ [[止痛]]<br>###主治::① [[顽痰咳喘，胸膈胀闷]]；<br>② [[风痰眩晕，中风痰壅，口眼歪斜，半身不遂，癫痫，惊风，破伤风]]；<br>③ [[痈疽肿痛，瘰疬痰核，蛇虫咬伤]]；<br>④ [[风湿痹证，跌打损伤疼痛【*···::祛风痰要药*】]]
